stock_code,REPORT_DATE,REPORT_TYPE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,TOTAL_PARENT_EQUITY,ACCOUNTS_RECE,FIXED_ASSET,INTANGIBLE_ASSET,GOODWILL,SHARE_CAPITAL,CAPITAL_RESERVE,SURPLUS_RESERVE,UNASSIGN_RPOFIT,report_type,OPERATE_INCOME,ASSET_IMPAIRMENT_LOSS,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,has_balance_sheet,has_profit_sheet,has_cash_flow,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,MONETARYFUNDS,INVENTORY,TOTAL_OPERATE_INCOME,OPERATE_COST,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,RESEARCH_EXPENSE,SALES_SERVICES,BUY_SERVICES
600999,2020-12-31,年报,499726677784.74,393901966032.85,105824711751.89,105736803907.06,,1507883916.3,429723410.5,9670605.55,8696526806.0,40361022253.27,5236148007.81,22919085666.61,balance_sheet,24277670240.59,,11303126069.17,11308868940.72,9503866922.67,9491638796.98,-9805343717.37,2520984934.6,37319970208.36,True,True,True,,,,,82838592513.92,,,,,,,,,
600999,2021-03-31,一季报,531966640447.04,424027352166.41,107939288280.63,107853583489.44,,1475313630.98,429321219.09,9670605.55,8696526806.0,40361022253.27,5236148007.81,25320646414.0,balance_sheet,5962375013.47,,3109133230.37,3108794667.18,2615982400.72,2612585454.36,-21158299526.09,9735590677.45,15846514262.77,True,True,True,,,,,91669241422.42,,,,,,,,,
600999,2021-06-30,中报,586373334974.71,479270738262.49,107102596712.22,107013637592.63,,1447448072.95,425331725.07,9670605.55,8696526806.0,40361022253.27,5236148007.81,24417399727.48,balance_sheet,14341507654.22,,6828341835.01,6812912764.0,5752036339.15,5745385064.39,-29861910947.04,3982233794.29,37131633371.93,True,True,True,,,,,99028216602.54,,,,,,,,,
600999,2021-09-30,三季报,613841970641.24,504131318918.72,109710651722.52,109625249548.48,,1388779878.36,438898121.74,9670605.55,8696526806.0,40361022253.27,5236148007.81,26961316203.88,balance_sheet,21782339419.77,,10193171980.11,10169055385.51,8511971380.18,8501247050.97,-40868969293.0,3921035676.48,54506805175.18,True,True,True,,,,,91844602528.34,,,,,,,,,
600999,2021-12-31,年报,597221126798.86,484630676581.91,112590450216.95,112503029631.97,,1449606416.7,434361218.74,9670605.55,8696526806.0,40361022253.27,5236148007.81,27732671239.85,balance_sheet,29428896087.24,,13815482237.39,13703852932.35,11657807877.3,11645065137.15,-41193054040.3,13813405955.16,35718314211.59,True,True,True,,,,,87938259847.57,,,,,,,,,
600999,2022-03-31,一季报,602653646125.61,493651148020.02,109002498105.59,108910479648.85,,1425748112.45,430148944.78,9670605.55,8696526806.0,40361022253.27,5236148007.81,29053523642.75,balance_sheet,3696270114.27,,1600676304.0,1592667462.38,1496216827.04,1491618955.28,21250974414.47,-2517715231.63,-8569624667.16,True,True,True,,,,,99700504513.87,,,,,,,,,
600999,2022-06-30,中报,601076312472.72,489599515355.83,111476797116.89,111382483528.87,,1415796582.3,430712584.16,9670605.55,8696526806.0,40361022253.27,5236148007.81,26510513456.04,balance_sheet,10620582866.81,,4763313176.4,4755146754.18,4298621672.44,4291728669.4,58315539342.56,-14291661512.16,-22252650107.19,True,True,True,,,,,113966437424.46,,,,,,,,,
600999,2022-09-30,三季报,582560571866.08,468836586483.25,113723985382.83,113628071368.48,,1453353827.2,428335563.29,9670605.55,8696526806.0,40361022253.27,5236148007.81,28496340536.9,balance_sheet,15297970234.15,,6901240401.24,6816616236.37,6290851833.66,6282358404.29,25459566604.7,-8631960978.78,-12692733553.86,True,True,True,,,,,94096658320.84,,,,,,,,,
600999,2022-12-31,年报,611677013360.77,496419930018.64,115257083342.13,115174595691.5,,1516393868.37,430396328.0,9670605.55,8696526806.0,40346871309.87,5236148007.81,28794772095.26,balance_sheet,19219229958.91,,8772706046.46,8531659990.14,8077129934.88,8070242869.23,62503842403.12,-19129795173.55,-21014038199.74,True,True,True,,,,,113377262889.25,,,,,,,,,
600999,2023-03-31,一季报,600539320228.21,482990750784.37,117548569443.84,117465222968.81,,1509407044.79,431757712.75,9670605.55,8696526806.0,40346871309.87,5236148007.81,31045877626.64,balance_sheet,4758451712.94,,2548238988.59,2550369367.8,2260720408.94,2259861584.54,24723495747.33,2704311489.57,-25903335058.04,True,True,True,,,,,111757923266.92,,,,,,,,,
