stock_code,REPORT_DATE,REPORT_TYPE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,TOTAL_PARENT_EQUITY,ACCOUNTS_RECE,FIXED_ASSET,INTANGIBLE_ASSET,GOODWILL,SHARE_CAPITAL,CAPITAL_RESERVE,SURPLUS_RESERVE,UNASSIGN_RPOFIT,report_type,OPERATE_INCOME,ASSET_IMPAIRMENT_LOSS,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,has_balance_sheet,has_profit_sheet,has_cash_flow,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,MONETARYFUNDS,INVENTORY,TOTAL_OPERATE_INCOME,OPERATE_COST,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,RESEARCH_EXPENSE,SALES_SERVICES,BUY_SERVICES
600941,2023-12-31,年报,0.29908035686801265,-0.35879629349340575,2.017676611153439,1.9987750299064553,,23.841428013403934,6.385661804818794,-0.963855421686747,10.769157765280255,-4.88395572131627,0.912117000230107,10.659909146470202,balance_sheet,2.075792903320091,0.118009147593944,4.3472650148321605,4.40434266798791,3.9304706370057154,4.7264817646539505,2.8672668168744333,-1.7497445462036967,-3.545662004495668,True,True,True,,,,,1.0536897339569682,,,,,,,,,
600941,2024-09-30,三季报,0.3186954503666382,-0.3521427796622843,2.017676611153439,1.9987750299064553,,22.4463839285487,6.265644334063852,-0.963855421686747,10.873879839821893,-4.880641138611415,0.912117000230107,10.793967898796687,balance_sheet,1.523929676626448,-0.14983858689409174,3.5537796425076396,3.572983412708749,3.2014109617874174,3.8603236854478915,1.9452712520977589,-0.8761684541877334,-3.349611255636403,True,True,True,,,,,0.9525566943342891,,,,,,,,,
600941,2024-12-31,年报,0.38624093742239946,-0.29781655272521745,2.017676611153439,1.9987750299064553,,23.83565871326101,6.864984381046809,-0.963855421686747,10.934474048734694,-4.880525345329149,0.912117000230107,11.070143414901974,balance_sheet,2.1554624870241597,0.5029651964881837,4.590541350734794,4.637624378742933,4.159826387058877,5.000492127561034,3.005626881491381,-1.5220940694065013,-2.984090871720264,True,True,True,,,,,1.6658574410543843,,,,,,,,,
601288,2021-03-31,一季报,1.785298047608487,1.9845356452374279,2.017676611153439,1.9987750299064553,,4.294117406673879,2.7902193683544487,0.07530120481927711,8.229859029604055,1.9955258163328962,2.4121170002301073,8.087602764031516,balance_sheet,0.011585654724024107,-0.22130468645480084,1.7474818914607653,1.741374643498693,1.6425852632012463,1.993221136927097,3.7809915475903173,0.32100327046455557,-0.5056425627133752,True,True,True,,,,,0.2945468186940945,,,,,,,,,
601288,2022-03-31,一季报,1.785298047608487,1.9845356452374279,2.017676611153439,1.9987750299064553,,4.26107194786708,3.2344185253702467,0.07530120481927711,8.229859029604055,1.9955258163328962,2.4121170002301073,9.119058409745682,balance_sheet,-0.011585654724024107,-0.22250579737178752,1.8774755157878247,1.8693263071986352,1.7798298510042614,2.178189536891618,3.6018209898734126,-1.7254751513108086,0.17163459484890772,True,True,True,,,,,0.2945468186940945,,,,,,,,,
601319,2021-12-31,年报,-0.1394437193073904,0.04797171818545179,0.37341801826878634,0.024771987974111936,,0.5717581268860378,0.5260292507123487,-0.8155120481927711,0.8367126916275234,-0.40760454132857926,1.330774706851829,0.3040767580066443,balance_sheet,1.0330763785155965,0.6885368331626299,0.406676891871031,0.40732269183180014,0.40425212386095966,0.15917235853449155,0.19458438483019674,-0.3714738419115222,-0.9001195219594944,True,True,True,,,,,-0.45375263931124504,,,,,,,,,
601319,2022-03-31,一季报,-0.08968738442903658,0.11558618550866058,0.3429732476913331,-0.0033517138281158204,,0.5545185021986061,0.4841800703743866,-0.8155120481927711,0.8367126916275234,-0.40760454132857926,1.330774706851829,0.39175918973992174,balance_sheet,-0.1577597084116513,-0.06696193362200893,-0.3895787387171052,-0.3897478925486526,-0.4489331712085944,-0.5909035342364345,-0.37452997175279823,0.4557394902358681,-0.23880907415860259,True,True,True,,,,,-0.4768018336433226,,,,,,,,,
601319,2022-06-30,中报,-0.048602572451945394,0.1581863340673724,0.3885700923090662,0.03797056017051896,,0.53004164892952,0.46250817341365624,-0.8155120481927711,0.8367126916275234,-0.4076190154888625,1.330774706851829,0.41803575142960975,balance_sheet,0.1841330004925117,0.20448913361698692,0.22512071857281207,0.22721068634048922,0.20812877273068778,0.020570476767354823,-0.07479031834970942,0.2598856954941307,-0.5454540951504406,True,True,True,,,,,-0.47039124634477325,,,,,,,,,
601319,2022-09-30,三季报,-0.04579987707134058,0.1615934065882643,0.38900200426381065,0.03529028533495292,,0.5201758043064155,0.41976222492559495,-0.8155120481927711,0.8367126916275234,-0.40766243796971213,1.330774706851829,0.4746933300805757,balance_sheet,0.5356747219349512,0.49095408731831663,0.5344662246765042,0.5366993392574031,0.5036361357183153,0.26799681627146543,-0.043152932117174386,0.011363095001313318,-0.20543233623931054,True,True,True,,,,,-0.47991554747404663,,,,,,,,,
601319,2022-12-31,年报,-0.10881787506357699,0.08016747323950447,0.4050530578378028,0.04515632767445983,,0.6003656625059739,0.5160153397029078,-0.8155120481927711,0.8367126916275234,-0.40937038888313115,1.4482013504838043,0.5635628346620091,balance_sheet,0.8606708927371702,0.8729073589200895,0.6028290495689427,0.6082750843108975,0.5722584296198229,0.3139071343792513,0.1759605486933114,-0.2737745395064834,0.4354912392108786,True,True,True,,,,,-0.4554010760451577,,,,,,,,,
